transaction_id,timestamp,customer_id,amount,transaction_type,merchant,location_from,location_to,risk_score,fraud_flag,status_of_transaction,marked_as,reviewed_response,explanation,graph_statistics
TXN980185,2025-03-28 11:22:15.641013,CUST0005,70821.25,Withdrawal,BestBuy,Surat,Surat,0.87,1,Under Review,Fraudulent,,,
TXN719721,2025-03-29 14:22:15.641013,CUST0005,9918.22,Bill Payment,Macy's,Jaipur,Delhi,0.03,0,Reviewed,Legitimate,,,
TXN828523,2025-02-06 03:22:15.641055,CUST0006,74846.48,Bill Payment,BestBuy,Bangalore,Paris,0.82,1,Under Review,Fraudulent,,,
TXN796415,2025-02-06 13:22:15.641055,CUST0006,25080.87,Purchase,Flipkart,Chennai,Chennai,0.19,0,Not Fraud,Suspicious,,,
TXN769029,2025-02-07 23:22:15.641055,CUST0006,40270.63,Bill Payment,Target,Nagpur,Mumbai,0.64,1,Reviewed,Fraudulent,,,
TXN104070,2025-02-09 11:22:15.641055,CUST0006,1211.13,Withdrawal,Snapdeal,Kanpur,Chennai,0.02,0,Under Review,Legitimate,,,
TXN252848,2025-02-11 11:22:15.641055,CUST0006,3147.5,Bill Payment,Target,Jaipur,Visakhapatnam,0.9,1,Not Fraud,Legitimate,,,
TXN251779,2025-02-12 09:22:15.641055,CUST0006,61045.02,Purchase,Walmart,Lucknow,Delhi,0.16,0,Reviewed,Fraudulent,,,
TXN518836,2025-03-01 18:22:15.641107,CUST0007,1691.97,Bill Payment,Amazon,Surat,Kolkata,0.13,0,Fraud,Suspicious,,,
TXN600281,2025-03-01 20:22:15.641107,CUST0007,26422.65,Bill Payment,BestBuy,Lucknow,Sydney,0.54,1,Fraud,Fraudulent,,,
TXN556813,2025-03-02 18:22:15.641107,CUST0007,39275.04,Transfer,Snapdeal,Delhi,Singapore,0.68,1,Under Review,Fraudulent,,,
TXN331271,2025-03-03 17:22:15.641107,CUST0007,51530.85,Bill Payment,Macy's,Bhopal,Nagpur,0.29,0,Under Review,Legitimate,,,
TXN316010,2025-03-05 07:22:15.641107,CUST0007,38996.35,Purchase,Flipkart,Chennai,Chennai,0.54,1,Reviewed,Fraudulent,,,
TXN393016,2025-04-04 19:22:15.641152,CUST0008,48251.24,Transfer,BestBuy,Bhopal,Bangalore,0.61,1,Reviewed,Legitimate,,,
TXN445265,2025-04-06 17:22:15.641152,CUST0008,12213.19,Transfer,Target,Lucknow,Kolkata,0.1,0,Reviewed,Suspicious,,,
TXN581927,2025-04-08 05:22:15.641152,CUST0008,80907.02,Purchase,Walmart,Ahmedabad,Chennai,0.68,1,Reviewed,Fraudulent,,,
TXN528699,2025-04-10 00:22:15.641152,CUST0008,47475.79,Purchase,Target,Lucknow,Chennai,0.75,1,Fraud,Fraudulent,,,
TXN896015,2025-04-11 14:22:15.641152,CUST0008,51755.08,Bill Payment,Target,Lucknow,Chennai,0.68,1,Under Review,Legitimate,,,
TXN101688,2025-02-05 20:22:15.641196,CUST0009,76037.64,Purchase,Macy's,Pune,Kanpur,0.95,1,Fraud,Suspicious,,,
TXN661174,2025-02-07 12:22:15.641196,CUST0009,72776.56,Bill Payment,Flipkart,Indore,Mumbai,0.64,1,Under Review,Suspicious,,,
TXN381858,2025-02-08 03:22:15.641196,CUST0009,73433.2,Transfer,Target,Visakhapatnam,Bangalore,0.6,1,Not Fraud,Suspicious,,,
TXN461352,2025-02-08 21:22:15.641196,CUST0009,68399.54,Transfer,Macy's,Kolkata,Visakhapatnam,0.73,1,Fraud,Legitimate,,,
TXN819146,2025-02-10 01:22:15.641196,CUST0009,6530.56,Transfer,Macy's,Nagpur,Kolkata,0.88,1,Reviewed,Fraudulent,,,
TXN334901,2025-03-15 00:22:15.641238,CUST0010,26895.26,Bill Payment,Walmart,Lucknow,Dubai,0.94,1,Not Fraud,Fraudulent,,,
TXN562002,2025-03-16 13:22:15.641238,CUST0010,52985.9,Bill Payment,Snapdeal,Mumbai,Delhi,0.68,1,Under Review,Legitimate,,,
TXN975634,2025-03-17 10:22:15.641238,CUST0010,11114.7,Withdrawal,Target,Delhi,Toronto,0.83,1,Under Review,Fraudulent,,,
TXN280933,2025-03-18 06:22:15.641238,CUST0010,92204.28,Withdrawal,Snapdeal,Jaipur,Pune,0.8,1,Not Fraud,Suspicious,,,
TXN530136,2025-03-19 00:22:15.641238,CUST0010,55374.39,Transfer,Flipkart,Delhi,Delhi,0.6,1,Fraud,Fraudulent,,,
TXN105251,2025-03-20 00:22:15.641238,CUST0010,7291.75,Transfer,Target,Ahmedabad,Ahmedabad,0.76,1,Not Fraud,Fraudulent,,,
TXN442146,2025-03-13 08:22:15.641289,CUST0011,26195.35,Bill Payment,Amazon,Kanpur,Chennai,0.95,1,Not Fraud,Suspicious,,,
TXN884060,2025-03-15 01:22:15.641289,CUST0011,82487.07,Bill Payment,BestBuy,Chennai,Delhi,0.6,1,Fraud,Fraudulent,,,
TXN701238,2025-03-16 10:22:15.641289,CUST0011,6390.35,Withdrawal,BestBuy,Kanpur,Chennai,0.02,0,Reviewed,Suspicious,,,
TXN436574,2025-03-17 16:22:15.641289,CUST0011,72293.22,Withdrawal,Macy's,Ahmedabad,Visakhapatnam,0.66,1,Under Review,Legitimate,,,
TXN266424,2025-03-18 18:22:15.641289,CUST0011,38689.11,Bill Payment,Walmart,Pune,Kanpur,0.76,1,Fraud,Fraudulent,,,
TXN514632,2025-03-20 13:22:15.641289,CUST0011,352.52,Purchase,Target,Visakhapatnam,Bangalore,0.17,0,Reviewed,Fraudulent,,,
TXN488314,2025-03-12 04:22:15.641362,CUST0012,6945.32,Transfer,Walmart,Hyderabad,Kolkata,0.55,1,Fraud,Fraudulent,,,
TXN667801,2025-03-12 22:22:15.641362,CUST0012,17866.52,Withdrawal,Macy's,Lucknow,Visakhapatnam,0.14,0,Not Fraud,Suspicious,,,
TXN710637,2025-03-14 16:22:15.641362,CUST0012,89799.26,Bill Payment,Amazon,Kanpur,Jaipur,0.61,1,Fraud,Legitimate,,,
TXN903036,2025-03-16 05:22:15.641362,CUST0012,43247.75,Bill Payment,BestBuy,Visakhapatnam,Indore,0.57,1,Reviewed,Fraudulent,,,
TXN378534,2025-03-17 01:22:15.641362,CUST0012,76791.41,Purchase,Flipkart,Nagpur,Ahmedabad,0.67,1,Fraud,Fraudulent,,,
TXN796244,2025-04-01 01:22:15.641406,CUST0013,4869.09,Purchase,Walmart,Jaipur,Ahmedabad,0.63,1,Reviewed,Fraudulent,,,
TXN375162,2025-04-02 07:22:15.641406,CUST0013,69454.02,Bill Payment,Snapdeal,Kolkata,Kanpur,0.67,1,Fraud,Legitimate,,,
TXN334095,2025-04-04 01:22:15.641406,CUST0013,34326.62,Bill Payment,Walmart,Hyderabad,Lucknow,0.61,1,Fraud,Legitimate,,,
TXN349338,2025-04-05 09:22:15.641406,CUST0013,86084.27,Transfer,Walmart,Kanpur,Kanpur,0.65,1,Not Fraud,Suspicious,,,
TXN625950,2025-04-07 02:22:15.641406,CUST0013,9862.33,Bill Payment,Flipkart,Delhi,Jaipur,0.89,1,Not Fraud,Legitimate,,,
TXN349913,2025-04-07 09:22:15.641406,CUST0013,21419.15,Transfer,Flipkart,Mumbai,Bhopal,0.24,0,Not Fraud,Fraudulent,,,
TXN801959,2025-03-04 19:22:15.641458,CUST0014,59027.73,Withdrawal,Walmart,Hyderabad,Lucknow,0.52,1,Under Review,Suspicious,,,
TXN397167,2025-03-06 10:22:15.641458,CUST0014,37349.04,Bill Payment,Amazon,Hyderabad,Pune,0.55,1,Reviewed,Suspicious,,,
TXN464835,2025-03-08 10:22:15.641458,CUST0014,61615.89,Purchase,BestBuy,Delhi,Bhopal,0.69,1,Fraud,Fraudulent,,,
TXN135068,2025-03-09 07:22:15.641458,CUST0014,48939.23,Bill Payment,BestBuy,Kolkata,Lucknow,0.7,1,Under Review,Legitimate,,,
TXN885657,2025-03-10 06:22:15.641458,CUST0014,79832.84,Withdrawal,BestBuy,Indore,Ahmedabad,0.9,1,Not Fraud,Legitimate,,,
TXN473341,2025-02-12 15:22:15.641512,CUST0015,70352.77,Bill Payment,Amazon,Visakhapatnam,London,0.61,1,Reviewed,Fraudulent,,,
TXN324008,2025-02-12 20:22:15.641512,CUST0015,23125.34,Transfer,Target,Hyderabad,Mumbai,0.02,0,Not Fraud,Suspicious,,,
TXN272982,2025-02-13 17:22:15.641512,CUST0015,49300.64,Transfer,Macy's,Ahmedabad,Ahmedabad,0.23,0,Not Fraud,Suspicious,,,
TXN905962,2025-02-14 06:22:15.641512,CUST0015,82036.35,Purchase,BestBuy,Jaipur,Mumbai,0.93,1,Reviewed,Fraudulent,,,
TXN154053,2025-02-15 06:22:15.641512,CUST0015,91425.88,Withdrawal,Target,Kanpur,Indore,0.58,1,Reviewed,Fraudulent,,,
TXN282563,2025-02-16 20:22:15.641512,CUST0015,97433.51,Transfer,Snapdeal,Indore,Visakhapatnam,0.85,1,Reviewed,Legitimate,,,
TXN208722,2025-02-25 11:22:15.641564,CUST0016,8937.22,Withdrawal,BestBuy,Chennai,Kolkata,0.2,0,Fraud,Legitimate,,,
TXN944212,2025-02-26 09:22:15.641564,CUST0016,37823.32,Purchase,Macy's,Visakhapatnam,Chennai,0.93,1,Not Fraud,Suspicious,,,
TXN573437,2025-02-27 09:22:15.641564,CUST0016,96379.73,Transfer,Flipkart,Kanpur,Kolkata,0.66,1,Fraud,Legitimate,,,
TXN214688,2025-02-27 22:22:15.641564,CUST0016,52125.11,Transfer,Amazon,Pune,Bhopal,0.51,1,Fraud,Legitimate,,,
TXN160753,2025-03-01 07:22:15.641564,CUST0016,20687.15,Purchase,BestBuy,Pune,Indore,0.04,0,Fraud,Suspicious,,,
TXN184170,2025-03-03 02:22:15.641564,CUST0016,26091.06,Withdrawal,Snapdeal,Mumbai,Jaipur,0.6,1,Fraud,Suspicious,,,
TXN293550,2025-03-28 08:22:15.641616,CUST0017,44347.3,Withdrawal,Flipkart,Mumbai,Visakhapatnam,0.15,0,Not Fraud,Legitimate,,,
TXN867887,2025-03-29 14:22:15.641616,CUST0017,57343.69,Bill Payment,BestBuy,Visakhapatnam,Ahmedabad,0.22,0,Fraud,Legitimate,,,
TXN606653,2025-03-29 21:22:15.641616,CUST0017,42164.67,Bill Payment,BestBuy,Bangalore,Kolkata,0.02,0,Not Fraud,Fraudulent,,,
TXN151721,2025-03-30 00:22:15.641616,CUST0017,65711.39,Purchase,Macy's,Nagpur,Ahmedabad,0.91,1,Under Review,Suspicious,,,
TXN985994,2025-03-31 06:22:15.641616,CUST0017,29807.57,Transfer,Target,Nagpur,Indore,0.18,0,Reviewed,Suspicious,,,
TXN817945,2025-02-06 19:22:15.641661,CUST0018,75297.88,Purchase,Flipkart,Jaipur,Delhi,0.88,1,Reviewed,Legitimate,,,
TXN412861,2025-02-08 07:22:15.641661,CUST0018,13155.77,Purchase,BestBuy,Bhopal,Hyderabad,0.93,1,Reviewed,Legitimate,,,
TXN516395,2025-02-09 13:22:15.641661,CUST0018,99347.66,Withdrawal,Macy's,Nagpur,Mumbai,0.56,1,Fraud,Legitimate,,,
TXN170238,2025-02-10 00:22:15.641661,CUST0018,59876.28,Bill Payment,BestBuy,Chennai,Lucknow,0.5,1,Under Review,Legitimate,,,
TXN544012,2025-02-11 09:22:15.641661,CUST0018,57181.54,Purchase,Macy's,Bhopal,Jaipur,0.93,1,Under Review,Legitimate,,,
TXN627942,2025-02-15 11:22:15.641704,CUST0019,82772.85,Withdrawal,BestBuy,Bangalore,Dubai,0.9,1,Reviewed,Fraudulent,,,
TXN603335,2025-02-15 19:22:15.641704,CUST0019,31218.69,Transfer,Flipkart,Pune,Kanpur,0.58,1,Reviewed,Suspicious,,,
TXN149372,2025-02-16 19:22:15.641704,CUST0019,90743.88,Purchase,Snapdeal,Ahmedabad,Lucknow,0.82,1,Not Fraud,Fraudulent,,,
TXN706274,2025-02-17 01:22:15.641704,CUST0019,1292.25,Withdrawal,Walmart,Bhopal,Singapore,0.85,1,Under Review,Fraudulent,,,
TXN134244,2025-02-18 22:22:15.641704,CUST0019,34605.43,Bill Payment,Amazon,Surat,Dubai,0.66,1,Not Fraud,Fraudulent,,,
TXN365677,2025-02-19 23:22:15.641704,CUST0019,54132.98,Withdrawal,Target,Lucknow,Bhopal,0.56,1,Not Fraud,Suspicious,,,
TXN556742,2025-02-22 00:22:15.641756,CUST0020,85785.09,Purchase,Flipkart,Jaipur,Lucknow,0.97,1,Not Fraud,Fraudulent,,,
TXN765869,2025-02-22 16:22:15.641756,CUST0020,66862.81,Withdrawal,Target,Bangalore,Visakhapatnam,0.61,1,Fraud,Fraudulent,,,
TXN929680,2025-02-23 14:22:15.641756,CUST0020,42077.87,Bill Payment,Walmart,Visakhapatnam,Jaipur,0.5,1,Fraud,Fraudulent,,,
TXN145287,2025-02-24 13:22:15.641756,CUST0020,58706.2,Bill Payment,BestBuy,Pune,Bangalore,0.93,1,Fraud,Legitimate,,,
TXN607142,2025-02-24 21:22:15.641756,CUST0020,5241.29,Transfer,Target,Surat,Indore,0.53,1,Not Fraud,Suspicious,,,
TXN421570,2025-02-25 07:22:15.641756,CUST0020,88123.17,Transfer,Walmart,Kanpur,Bhopal,0.9,1,Under Review,Legitimate,,,
TXN410423,2025-03-22 21:22:15.641810,CUST0021,50740.3,Transfer,BestBuy,Mumbai,Mumbai,0.29,0,Not Fraud,Fraudulent,,,
TXN999962,2025-03-24 15:22:15.641810,CUST0021,34952.59,Bill Payment,Amazon,Indore,Kolkata,0.13,0,Under Review,Fraudulent,,,
TXN238639,2025-03-25 20:22:15.641810,CUST0021,93155.65,Bill Payment,Amazon,Bhopal,Bhopal,0.73,1,Under Review,Fraudulent,,,
TXN692446,2025-03-27 10:22:15.641810,CUST0021,89318.7,Bill Payment,Snapdeal,Nagpur,Bhopal,0.87,1,Not Fraud,Legitimate,,,
TXN802629,2025-03-27 19:22:15.641810,CUST0021,78553.92,Purchase,Flipkart,Ahmedabad,Hyderabad,0.71,1,Under Review,Fraudulent,,,
TXN931493,2025-03-29 15:22:15.641810,CUST0021,3344.95,Withdrawal,Walmart,Pune,Pune,0.08,0,Under Review,Legitimate,,,
TXN123653,2025-03-12 04:22:15.641862,CUST0022,78771.06,Purchase,Target,Nagpur,Jaipur,0.96,1,Not Fraud,Fraudulent,,,
TXN460489,2025-03-13 01:22:15.641862,CUST0022,65471.15,Withdrawal,Walmart,Bhopal,Nagpur,0.8,1,Reviewed,Legitimate,,,
TXN630420,2025-03-13 18:22:15.641862,CUST0022,34429.09,Bill Payment,BestBuy,Delhi,Singapore,0.94,1,Fraud,Fraudulent,,,
TXN401222,2025-03-14 11:22:15.641862,CUST0022,53217.63,Transfer,Snapdeal,Hyderabad,Mumbai,0.68,1,Fraud,Legitimate,,,
TXN655123,2025-03-14 20:22:15.641862,CUST0022,80235.91,Transfer,Snapdeal,Bhopal,Surat,0.9,1,Not Fraud,Fraudulent,,,
TXN568325,2025-02-23 20:22:15.641907,CUST0023,54481.21,Purchase,BestBuy,Kolkata,Toronto,0.58,1,Under Review,Fraudulent,,,
TXN178811,2025-02-24 10:22:15.641907,CUST0023,91713.61,Purchase,Amazon,Lucknow,Indore,0.89,1,Under Review,Fraudulent,,,
TXN950510,2025-02-25 03:22:15.641907,CUST0023,47250.34,Bill Payment,Snapdeal,Visakhapatnam,Bangalore,0.9,1,Fraud,Suspicious,,,
TXN282117,2025-02-26 07:22:15.641907,CUST0023,57670.1,Purchase,Flipkart,Nagpur,Hyderabad,0.6,1,Under Review,Fraudulent,,,
TXN683750,2025-02-26 19:22:15.641907,CUST0023,50705.19,Bill Payment,Amazon,Mumbai,Delhi,0.66,1,Reviewed,Legitimate,,,
TXN122232,2025-02-27 19:22:15.641907,CUST0023,14799.24,Withdrawal,BestBuy,Mumbai,Singapore,0.97,1,Reviewed,Fraudulent,,,
TXN749607,2025-03-04 12:22:15.641958,CUST0024,13835.16,Purchase,Amazon,Jaipur,Chennai,0.22,0,Reviewed,Suspicious,,,
TXN279429,2025-03-05 03:22:15.641958,CUST0024,40634.8,Bill Payment,Walmart,Jaipur,Delhi,0.7,1,Not Fraud,Fraudulent,,,
TXN904260,2025-03-06 12:22:15.641958,CUST0024,34231.27,Withdrawal,Snapdeal,Mumbai,Kanpur,0.57,1,Under Review,Fraudulent,,,
TXN682369,2025-03-07 10:22:15.641958,CUST0024,21695.12,Purchase,Flipkart,Delhi,Jaipur,0.8,1,Under Review,Legitimate,,,
TXN520831,2025-03-09 02:22:15.641958,CUST0024,48594.11,Transfer,BestBuy,Lucknow,Hyderabad,0.5,1,Fraud,Legitimate,,,
TXN857456,2025-03-10 18:22:15.641958,CUST0024,10775.06,Bill Payment,Flipkart,Visakhapatnam,Mumbai,0.54,1,Under Review,Legitimate,,,
TXN676411,2025-03-26 19:22:15.642023,CUST0025,72409.88,Transfer,Snapdeal,Ahmedabad,Chennai,0.5,1,Fraud,Fraudulent,,,
TXN778895,2025-03-27 17:22:15.642023,CUST0025,85114.56,Bill Payment,Macy's,Lucknow,Hyderabad,0.97,1,Fraud,Suspicious,,,
TXN949927,2025-03-27 23:22:15.642023,CUST0025,12576.81,Bill Payment,Target,Pune,Bhopal,0.06,0,Reviewed,Suspicious,,,
TXN450483,2025-03-28 11:22:15.642023,CUST0025,83065.95,Bill Payment,Walmart,Hyderabad,Surat,0.91,1,Under Review,Fraudulent,,,
TXN532060,2025-03-30 08:22:15.642023,CUST0025,15929.29,Withdrawal,Walmart,Bangalore,Ahmedabad,0.65,1,Not Fraud,Fraudulent,,,
TXN777132,2025-02-04 02:22:15.642067,CUST0026,43480.9,Bill Payment,Flipkart,Kolkata,Jaipur,0.65,1,Fraud,Suspicious,,,
TXN752881,2025-02-05 00:22:15.642067,CUST0026,89683.9,Bill Payment,Snapdeal,Nagpur,Hyderabad,0.88,1,Fraud,Legitimate,,,
TXN643715,2025-02-05 15:22:15.642067,CUST0026,86668.24,Purchase,Target,Kolkata,Delhi,0.77,1,Reviewed,Fraudulent,,,
TXN411247,2025-02-07 14:22:15.642067,CUST0026,12623.57,Bill Payment,Macy's,Indore,Mumbai,0.64,1,Reviewed,Suspicious,,,
TXN832956,2025-02-08 16:22:15.642067,CUST0026,35498.23,Withdrawal,Flipkart,Indore,Kolkata,0.89,1,Under Review,Legitimate,,,
TXN483744,2025-02-08 20:22:15.642067,CUST0026,26243.74,Withdrawal,Amazon,Ahmedabad,Ahmedabad,0.54,1,Fraud,Fraudulent,,,
TXN448219,2025-02-19 18:22:15.642120,CUST0027,14916.02,Withdrawal,Amazon,Hyderabad,Kolkata,0.27,0,Fraud,Suspicious,,,
TXN444204,2025-02-21 10:22:15.642120,CUST0027,42168.31,Purchase,Amazon,Bangalore,Chennai,0.07,0,Fraud,Fraudulent,,,
TXN653111,2025-02-23 04:22:15.642120,CUST0027,98506.74,Transfer,Flipkart,Surat,Ahmedabad,0.81,1,Not Fraud,Fraudulent,,,
TXN604679,2025-02-23 15:22:15.642120,CUST0027,78772.91,Purchase,Walmart,Ahmedabad,Mumbai,0.88,1,Under Review,Fraudulent,,,
TXN415825,2025-02-24 04:22:15.642120,CUST0027,46550.83,Withdrawal,Flipkart,Lucknow,Toronto,0.78,1,Reviewed,Fraudulent,,,
TXN575301,2025-02-09 22:22:15.642163,CUST0028,40717.27,Transfer,Walmart,Chennai,Visakhapatnam,0.85,1,Fraud,Suspicious,,,
TXN790653,2025-02-11 13:22:15.642163,CUST0028,93840.21,Transfer,Snapdeal,Ahmedabad,Visakhapatnam,0.85,1,Reviewed,Fraudulent,,,
TXN553894,2025-02-13 05:22:15.642163,CUST0028,44343.18,Transfer,Target,Jaipur,Ahmedabad,0.98,1,Not Fraud,Fraudulent,,,
TXN120158,2025-02-13 17:22:15.642163,CUST0028,27789.94,Withdrawal,BestBuy,Kolkata,Kanpur,0.17,0,Under Review,Suspicious,,,
TXN578856,2025-02-14 08:22:15.642163,CUST0028,19892.99,Purchase,Snapdeal,Ahmedabad,Singapore,0.62,1,Under Review,Fraudulent,,,
TXN543653,2025-03-20 08:22:15.642207,CUST0029,31091.59,Withdrawal,Snapdeal,Surat,Jaipur,0.77,1,Under Review,Fraudulent,,,
TXN958712,2025-03-20 13:22:15.642207,CUST0029,45917.76,Purchase,Snapdeal,Ahmedabad,Lucknow,0.56,1,Under Review,Suspicious,,,
TXN200492,2025-03-21 10:22:15.642207,CUST0029,81903.47,Bill Payment,BestBuy,Bangalore,Kanpur,0.75,1,Fraud,Fraudulent,,,
TXN832183,2025-03-22 06:22:15.642207,CUST0029,5327.49,Withdrawal,Snapdeal,Surat,Nagpur,0.8,1,Under Review,Suspicious,,,
TXN952505,2025-03-23 14:22:15.642207,CUST0029,37288.93,Purchase,Snapdeal,Lucknow,Delhi,0.54,1,Reviewed,Legitimate,,,
TXN850252,2025-03-13 22:22:15.642251,CUST0030,74317.96,Transfer,Macy's,Jaipur,Bangalore,0.74,1,Fraud,Fraudulent,,,
TXN621364,2025-03-15 02:22:15.642251,CUST0030,85846.32,Transfer,Walmart,Visakhapatnam,Nagpur,0.59,1,Under Review,Suspicious,,,
TXN529475,2025-03-16 21:22:15.642251,CUST0030,24678.53,Bill Payment,Amazon,Indore,Bangalore,0.17,0,Fraud,Fraudulent,,,
TXN553588,2025-03-17 18:22:15.642251,CUST0030,23820.91,Withdrawal,Amazon,Mumbai,Bangalore,0.58,1,Fraud,Fraudulent,,,
TXN689695,2025-03-17 23:22:15.642251,CUST0030,65987.09,Transfer,BestBuy,Indore,Bhopal,0.21,0,Not Fraud,Legitimate,,,
TXN629726,2025-03-19 02:22:15.642251,CUST0030,4299.08,Purchase,Amazon,Delhi,Dubai,0.92,1,Under Review,Fraudulent,,,
TXN649920,2025-03-03 08:22:15.642303,CUST0031,50133.58,Purchase,Macy's,Pune,Paris,0.69,1,Under Review,Fraudulent,,,
TXN681815,2025-03-03 14:22:15.642303,CUST0031,52347.97,Bill Payment,Macy's,Visakhapatnam,Kanpur,0.84,1,Not Fraud,Fraudulent,,,
TXN147968,2025-03-05 02:22:15.642303,CUST0031,99301.82,Purchase,BestBuy,Nagpur,Nagpur,0.58,1,Not Fraud,Legitimate,,,
TXN649459,2025-03-07 01:22:15.642303,CUST0031,3524.06,Bill Payment,Snapdeal,Visakhapatnam,Mumbai,0.78,1,Fraud,Suspicious,,,
TXN261834,2025-03-08 07:22:15.642303,CUST0031,63264.13,Bill Payment,Snapdeal,Kanpur,Mumbai,0.86,1,Reviewed,Fraudulent,,,
TXN732983,2025-03-10 21:22:15.642346,CUST0032,44400.12,Transfer,Amazon,Jaipur,Surat,0.71,1,Reviewed,Suspicious,,,
TXN506352,2025-03-12 02:22:15.642346,CUST0032,48132.52,Purchase,Flipkart,Nagpur,Indore,0.93,1,Fraud,Suspicious,,,
TXN205881,2025-03-13 17:22:15.642346,CUST0032,8491.71,Transfer,Walmart,Indore,Toronto,0.91,1,Under Review,Fraudulent,,,
TXN418421,2025-03-14 07:22:15.642346,CUST0032,24969.49,Purchase,Macy's,Delhi,Bhopal,0.57,1,Reviewed,Legitimate,,,
TXN466466,2025-03-14 23:22:15.642346,CUST0032,52972.67,Transfer,Flipkart,Lucknow,Pune,0.85,1,Not Fraud,Legitimate,,,
TXN496915,2025-03-29 06:22:15.642391,CUST0033,49563.39,Bill Payment,Amazon,Kolkata,Hyderabad,0.15,0,Under Review,Legitimate,,,
TXN993506,2025-03-30 01:22:15.642391,CUST0033,10439.29,Transfer,BestBuy,Delhi,Kanpur,0.51,1,Reviewed,Suspicious,,,
TXN410155,2025-03-31 14:22:15.642391,CUST0033,59026.41,Purchase,Macy's,Delhi,Pune,0.7,1,Not Fraud,Legitimate,,,
TXN645708,2025-03-31 15:22:15.642391,CUST0033,51049.19,Withdrawal,Walmart,Nagpur,London,0.9,1,Fraud,Fraudulent,,,
TXN360812,2025-04-01 06:22:15.642391,CUST0033,52662.58,Purchase,Amazon,Mumbai,Surat,0.81,1,Under Review,Legitimate,,,
